1,440
1,439.99
1,439.3
1,437.99
1,436.39
1,434.44
1,432.21
1,429.9
1,428
1,426.4
1,424.95
1,423.93
1,423.6
1,422.88
1,422.46
1,421.94
1,421.76
1,421.47
1,421.25
1,421.02
1,420.8
1,420.57
1,421.05
1,421.61
1,421.89
1,421.76
1,422.37
1,422.22
1,421.99
1,421.82
1,422.2
1,422.49
1,423.02
1,424.01
1,424.92
1,425.5
1,426.08
1,425.96
1,425.52
1,424.72
1,423.47
1,421.3
1,420.15
1,418.6
1,417.1
1,416
1,414.17
1,413.03
1,412
1,410.59
1,410.03
1,409.8
1,410
